features,levels,decision,supportRHS,accuracyRHS,Therotical_Accuracy,cuts,cut1,cut2,cut3,cut4,Combinatorial_gain
SDK2,3,Prot,10,0.90909,0.197519606055079,value>cut,0.4804,,,,-0.711570393944921
"X00000053274,SDK2","2,3",Prot,6,1,0.149205643280296,"cut<value<cut,value>cut",-0.2752,1.7252,0.4804,,-0.850794356719704
"X00000064715,X00000058427","3,2",Prot,6,0.92857,0.215292382058445,"value>cut,cut<value<cut",1.9057,1.24995,1.8448,,-0.713277617941555
"LOC701920,SDK2","3,3",Prot,6,1,0.485361758518871,"value>cut,value>cut",5.486,0.4804,,,-0.514638241481129
"X00000059200,KIR3DL0","3,2",Prot,6,0.95238,0.391368849496928,"value>cut,cut<value<cut",2.79883,2.82883,3.634,,-0.561011150503072
"STARD8,X00000064369","2,3",Prot,6,1,0.113951389158088,"cut<value<cut,value>cut",0.6394,1.48085,3.3515,,-0.886048610841912
"LOC702786,LTC4S","2,3",NonProt,8,0.85347,0.928705440900563,"cut<value<cut,value>cut",-4.92785,-0.09063,0.59275,,0.0752354409005629
"X00000053274,X00000059200","1,1",NonProt,6,0.95238,0.698412698412698,"value<cut,value<cut",-0.41087,-0.4353,,,-0.253967301587302
"DLK1,ZNF576","2,2",Prot,7,1,0.078967061559539,"cut<value<cut,cut<value<cut",-1.85644,-0.0195,3.7466,3.9411,-0.921032938440461
"THRB,X00000056965","2,2",Prot,6,0.85714,0.13074972835929,"cut<value<cut,cut<value<cut",-4.8418,-3.1655,-3.4706,-1.9257,-0.72639027164071
"ESR1,C5H4orf45","3,1",Prot,6,1,0.36369902964102,"value>cut,value<cut",1.04425,0.1759,,,-0.63630097035898
"LOC701920,MYH15","2,1",Prot,6,1,0.146375296101069,"cut<value<cut,value<cut",5.2505,5.5265,-2.3565,,-0.853624703898931
"C5H4orf45,TRIM16","1,3",Prot,6,0.92857,0.0997166153436934,"value<cut,value>cut",0.25165,-0.9464,,,-0.828853384656307
"TRIM16,LOC114669850","2,1",NonProt,6,0.85714,0.329411764705882,"cut<value<cut,value<cut",-1.6451,-0.9464,-0.0248,,-0.527728235294118
"VSTM1,ZNF576","2,1",NonProt,6,0.85714,0.902564102564103,"cut<value<cut,value<cut",4.474,5.2235,3.741,,0.0454241025641026
"X00000064369,ZNF576","1,1",NonProt,6,1,0.301003344481605,"value<cut,value<cut",2.5624,3.741,,,-0.698996655518395
"FABP5,X00000058729","3,2",NonProt,6,1,0.769230769230769,"value>cut,cut<value<cut",2.415,-4.72285,-2.5258,,-0.230769230769231
"LOC719667,STARD8","2,2",Prot,6,0.85714,0.146375296101069,"cut<value<cut,cut<value<cut",4.2055,4.964,0.6394,1.4671,-0.710764703898931
"TARM1,X00000059995","1,2",Prot,6,0.85714,0.310938845822567,"value<cut,cut<value<cut",1.369,-0.3992,0.6708,,-0.546201154177433
"LOC719667,F2RL3","2,2",Prot,6,0.85714,0.517308997661966,"cut<value<cut,cut<value<cut",4.2055,4.964,-4.2261,-1.9341,-0.339831002338035
"F2RL3,TARM1","2,1",Prot,6,1,0.252860144758347,"cut<value<cut,value<cut",-4.2261,-1.9341,1.369,,-0.747139855241653
"SMIM2,X00000060253","1,3",Prot,6,1,0.609201527666756,"value<cut,value>cut",-0.2444,2.0577,,,-0.390798472333245
"X00000053274,X00000058729","2,3",Prot,6,1,0.189515274874053,"cut<value<cut,value>cut",-0.2752,1.7252,-2.5992,,-0.810484725125948
"LOC702786,X00000058729","3,3",Prot,6,1,0.343811090503944,"value>cut,value>cut",0.1931,-2.5992,,,-0.656188909496056
"KRTAP29.1,X00000058729","3,3",Prot,6,1,0.343811090503944,"value>cut,value>cut",1.954,-2.5992,,,-0.656188909496056
"SMIM2,X00000058729","1,3",Prot,6,1,0.461605760818359,"value<cut,value>cut",-0.2444,-2.5992,,,-0.538394239181641
"X00000058729,X00000058427","3,1",Prot,6,1,0.296217328089086,"value>cut,value<cut",-2.436,1.2264,,,-0.703782671910914
"TARM1,X00000053012","1,3",Prot,6,1,0.310938845822567,"value<cut,value>cut",1.369,2.8597,,,-0.689061154177433
"LOC709056,MAOA","2,1",Prot,6,1,0.125029621393026,"cut<value<cut,value<cut",-0.427,0.6827,0.25553,,-0.874970378606974
"LOC702786,X00000058427","1,2",Prot,6,1,0.507109939128078,"value<cut,cut<value<cut",-4.8818,1.211,1.8342,,-0.492890060871923
"TARM1,SDK2","1,3",Prot,6,1,0.331718319271573,"value<cut,value>cut",1.369,0.4804,,,-0.668281680728427
"X00000053274,STARD8","2,2",Prot,6,1,0.20458951847838,"cut<value<cut,cut<value<cut",-0.2752,1.7252,0.6394,1.4671,-0.79541048152162
"LOC719667,X00000059995","2,2",Prot,6,1,0.113951389158088,"cut<value<cut,cut<value<cut",4.2055,4.964,-0.3992,0.6708,-0.886048610841912
"X00000064715,X00000056965","3,2",Prot,6,1,0.20458951847838,"value>cut,cut<value<cut",1.9788,-3.4706,-1.9257,,-0.79541048152162
"TNNT2,ZNF576","2,2",Prot,6,1,0.0751231242340863,"cut<value<cut,cut<value<cut",-2.4981,-0.5648,3.741,3.9385,-0.924876875765914
"TMX2,X00000058729","2,3",Prot,6,1,0.0896300587602417,"cut<value<cut,value>cut",2.857,3.24,-2.5992,,-0.910369941239758
"MYH15,SDK2","3,1",NonProt,6,0.85714,0.628491620111732,"value>cut,value<cut",-1.5334,-1.1013,,,-0.228648379888268
"X00000037843,TMX2","3,1",NonProt,6,1,0.219178082191781,"value>cut,value<cut",2.999,2.857,,,-0.780821917808219
"RBM46,X00000053012","1,1",NonProt,6,0.85714,0.323624595469256,"value<cut,value<cut",-2.4387,2.5668,,,-0.533515404530744
"X00000053012,ESR1","1,1",NonProt,6,0.85714,0.612244897959184,"value<cut,value<cut",2.5668,0.6029,,,-0.244895102040816
"TNNT2,X00000058729","3,2",NonProt,6,1,0.149253731343284,"value>cut,cut<value<cut",-0.5648,-4.7414,-2.5992,,-0.850746268656716
"VSTM1,X00000058729","1,3",Prot,6,1,0.282106121167026,"value<cut,value>cut",4.474,-2.5992,,,-0.717893878832974
"ZNF576,MAOA","2,3",Prot,6,0.85714,0.155207916908664,"cut<value<cut,value>cut",3.741,3.9385,0.6932,,-0.701932083091336
"HCN2,X00000056965","1,2",Prot,6,0.96429,0.406845008600747,"value<cut,cut<value<cut",-2.93285,-3.47958,-2.07038,,-0.557444991399253
"LOC715623,LAMC1","3,2",Prot,6,0.85714,0.391368849496928,"value>cut,cut<value<cut",-0.5711,0.9234,1.8291,,-0.465771150503072
"LOC701920,X00000058729","3,3",Prot,6,1,0.414291649812299,"value>cut,value>cut",5.486,-2.5992,,,-0.585708350187701
"F2RL3,LOC702786","3,2",NonProt,6,0.92857,0.645161290322581,"value>cut,cut<value<cut",-1.93505,-4.917,0.1931,,-0.283408709677419
"LOC702786,X00000058729","2,2",NonProt,6,1,0.945558739255014,"cut<value<cut,cut<value<cut",-4.8818,0.1931,-4.7414,-2.5992,-0.0544412607449857
"SDK2,MAOA","2,2",NonProt,6,1,0.81,"cut<value<cut,cut<value<cut",-1.1013,0.5333,0.2491,0.6932,-0.19
"X00000059200,CFAP70","1,3",NonProt,6,0.85714,0.568181818181818,"value<cut,value>cut",-0.4174,2.35365,,,-0.288958181818182
