features	levels	decision	supportLHS	supportRHS	accuracyRHS	coverageLHS	coverageRHS	cuts	cut1	cut2	cut3	pValue	riskRatio	pValueRiskRatio	confIntRiskRatio	supportSetLHS	supportSetRHS	cut4	stabilityLHS	stabilityRHS	supportRatioLHS	supportRatioRHS	cut5
AZU1,TMEM40	1,1	Protected	8	8	1	0.20513	0.4	value<cut,value<cut	1.6741	2.31467		0.0450450450450451	Inf	0.0499719810174701	-Inf:Inf	29299,29482,29483,29528,30407,28949,29014,33252	29299,29482,29483,29528,30407,28949,29014,33252						
CD300LD,HEY1	1,1	Protected	9	9	1	0.23077	0.45	value<cut,value<cut	1.4197	-1.7672		0.01743679163034	Inf	0.0219711003419647	-Inf:Inf	29208,29211,29299,28885,28949,29014,32383,32786,33252	29208,29211,29299,28885,28949,29014,32383,32786,33252						
CD300LD,TMEM40	1,1	Protected	8	8	1	0.20513	0.4	value<cut,value<cut	1.32275	2.29506		0.0450450450450451	Inf	0.0499719810174701	-Inf:Inf	29523,30027,29208,29211,29299,30407,28949,33252	29523,30027,29208,29211,29299,30407,28949,33252						
CDH20,LTC4S	3,1	Protected	7	7	1	0.17949	0.35	value>cut,value<cut	0.68792	-0.4553		0.0554400554400555	Inf	0.0544723053426379	-Inf:Inf	30028,29208,29483,30407,28885,28890,33252	30028,29208,29483,30407,28885,28890,33252						
CDH20,TARM1	1,3	Non-protected	7	6	0.857142857142857	0.17949	0.31579	value<cut,value>cut	0.17893	2.05687		0.424116424116424	6.31578947368421	0.361257538986904	0.836:47.694	29558,29484,29511,28724,29528,32371,32383	29484,29511,28724,29528,32371,32383						
F5,CBS	1,2	Protected	7	7	1	0.17949	0.35	value<cut,cut<value<cut	5.5665	-1.4791	0.0807	0.110880110880111	Inf	0.108944610685276	-Inf:Inf	30028,30027,29208,29211,29515,28890,29014	30028,30027,29208,29211,29515,28890,29014						
F5,CBS	2,3	Protected	7	7	1	0.17949	0.35	cut<value<cut,value>cut	5.4844	6.2708	0.03892	0.110880110880111	Inf	0.108944610685276	-Inf:Inf	29558,29341,30407,28885,28949,31481,31824	29558,29341,30407,28885,28949,31481,31824						
F5,CD300LD	3,2	Non-protected	7	7	1	0.17949	0.36842	value>cut,cut<value<cut	6.259	1.34772	1.82888	0.0720720720720721	Inf	0.0681124520990992	-Inf:Inf	30412,29511,28724,32342,32371,32383,32575	30412,29511,28724,32342,32371,32383,32575						
F5,TMEM40	1,1	Protected	7	7	1	0.17949	0.35	value<cut,value<cut	5.43667	2.426		0.110880110880111	Inf	0.108944610685276	-Inf:Inf	30027,29208,29211,29515,29483,29528,33252	30027,29208,29211,29515,29483,29528,33252						
F5,OSCAR	1,1	Protected	7	7	1	0.17949	0.35	value<cut,value<cut	5.393	2.47388		0.0756000756000756	Inf	0.0742804163763244	-Inf:Inf	30028,29208,29211,29515,29483,29215,33252	30028,29208,29211,29515,29483,29215,33252						
