Sample ID;Group;Vaccine Description;RhCMV Status;vaccine route of inoculation;protectionStatus;AnimalID;Time_Point;Sex;Age;Study Event;PAXgene Sample Collection Date
S5_29299_W0_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29299;D7;male;4,04;D7 of prime;2014-03-26
S5_29299_W18_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29299;D126;male;4,38;D0 of boost;2014-07-23
S5_29299_W18_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29299;D129;male;4,38;D3 of boost;2014-07-26
S5_29299_W18_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29299;D133;male;4,38;D7 of boost;2014-07-30
S5_29299_W88_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29299;PreChal (W88);male;;PreChallenge;
S6_29341_W0_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29341;D0;male;3,84;baseline;2014-03-19
S6_29341_W0_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29341;D3;male;3,84;D3 of prime;2014-03-22
S6_29341_W0_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29341;D7;male;3,84;D7 of prime;2014-03-26
S6_29341_W18_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29341;D126;male;4,18;D0 of boost;2014-07-23
S6_29341_W18_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29341;D129;male;4,18;D3 of boost;2014-07-26
S6_29341_W18_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29341;D133;male;4,18;D7 of boost;2014-07-30
S6_29341_W88_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29341;PreChal (W88);male;;PreChallenge;
S7_29484_W0_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29484;D0;male;3,95;baseline;2014-03-19
S7_29484_W0_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29484;D3;male;3,96;D3 of prime;2014-03-22
S7_29484_W0_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29484;D7;male;3,95;D7 of prime;2014-03-26
S7_29484_W18_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29484;D126;male;4,3;D0 of boost;2014-07-23
S7_29484_W18_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29484;D129;male;4,3;D3 of boost;2014-07-26
S7_29484_W18_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29484;D133;male;4,3;D7 of boost;2014-07-30
S7_29484_W88_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29484;PreChal (W88);male;;PreChallenge;
S8_29511_W0_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29511;D0;male;4,02;baseline;2014-03-19
S8_29511_W0_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29511;D3;male;4,03;D3 of prime;2014-03-22
S8_29511_W0_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29511;D7;male;4,02;D7 of prime;2014-03-26
S8_29511_W18_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29511;D126;male;4,36;D0 of boost;2014-07-23
S8_29511_W18_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29511;D129;male;4,36;D3 of boost;2014-07-26
S8_29511_W18_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29511;D133;male;4,36;D7 of boost;2014-07-30
S8_29511_W88_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29511;PreChal (W88);male;;PreChallenge;
S9_29515_W0_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29515;D0;male;3,8;baseline;2014-03-19
S9_29515_W0_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29515;D3;male;3,81;D3 of prime;2014-03-22
S9_29515_W0_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29515;D7;male;3,8;D7 of prime;2014-03-26
S9_29515_W18_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29515;D126;male;4,14;D0 of boost;2014-07-23
S9_29515_W18_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29515;D129;male;4,14;D3 of boost;2014-07-26
S9_29515_W18_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29515;D133;male;4,14;D7 of boost;2014-07-30
S9_29515_W88_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29515;PreChal (W88);male;;PreChallenge;
O10_29306_W0_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29306;D0;male;;baseline;
O10_29306_W0_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29306;D3;male;;D3 of prime;
O10_29306_W0_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29306;D7;male;;D7 of prime;
O10_29306_W18_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29306;D126;male;;D0 of boost;
O10_29306_W18_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29306;D129;male;;D3 of boost;
O10_29306_W18_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29306;D133;male;;D7 of boost;
O10_29306_W88_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29306;PreChal (W88);male;;PreChallenge;
O11_29482_W0_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29482;D0;male;;baseline;
O11_29482_W0_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29482;D3;male;;D3 of prime;
O11_29482_W0_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29482;D7;male;;D7 of prime;
O11_29482_W18_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29482;D126;male;;D0 of boost;
O11_29482_W18_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29482;D129;male;;D3 of boost;
O11_29482_W18_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29482;D133;male;;D7 of boost;
O11_29482_W88_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29482;PreChal (W88);male;;PreChallenge;
O12_29483_W0_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29483;D0;male;;baseline;
O12_29483_W0_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29483;D3;male;;D3 of prime;
O12_29483_W0_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29483;D7;male;;D7 of prime;
O12_29483_W18_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29483;D126;male;;D0 of boost;
O12_29483_W18_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29483;D129;male;;D3 of boost;
O12_29483_W18_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29483;D133;male;;D7 of boost;
O12_29483_W88_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29483;PreChal (W88);male;;PreChallenge;
O1_28724_W0_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;28724;D0;male;;baseline;
O1_28724_W0_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;28724;D3;male;;D3 of prime;
O1_28724_W0_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;28724;D7;male;;D7 of prime;
O1_28724_W18_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;28724;D126;male;;D0 of boost;
O1_28724_W18_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;28724;D129;male;;D3 of boost;
O1_28724_W18_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;28724;D133;male;;D7 of boost;
O1_28724_W88_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;28724;PreChal (W88);male;;PreChallenge;
O13_29528_W0_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29528;D0;male;;baseline;
O13_29528_W0_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29528;D3;male;;D3 of prime;
O13_29528_W0_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29528;D7;male;;D7 of prime;
O13_29528_W18_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29528;D126;male;;D0 of boost;
O13_29528_W18_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29528;D129;male;;D3 of boost;
O13_29528_W18_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29528;D133;male;;D7 of boost;
O13_29528_W88_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29528;PreChal (W88);male;;PreChallenge;
O14_30400_W0_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;30400;D0;male;;baseline;
O14_30400_W0_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;30400;D3;male;;D3 of prime;
