sdev
3.280087	2.477028	2.226363	2.154337	1.944398	1.820606	1.649679	1.635254	1.618507	1.528395	1.485132	1.459401	1.390759	1.358349	1.281187	1.231252	1.202068	1.122364	1.07228	1.041993	1.023981	0.9846217	0.9458475	0.9071275	0.8535037	0.8152883	0.7601281	0.7266713	0.672848	0.6519189	0.5929997	0.5796433	0.5070407	0.447462	0.4233622	0.4093997	0.3785491	0.3184207	7.171018e-15	
rotation
   	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	
HCN2	-0.0986	-0.0513	-0.042	0.1112	-0.047	0.0774	0.2821	-0.0111	0.2206	-0.0434	0.1924	-0.0649	0.0229	0.1976	-0.255	-0.035	-0.0104	0.1365	-0.0132	-0.0335	0.0484	-0.1021	-0.0126	0.0228	0.1514	-0.2517	0.0368	-0.2202	0.071	0.1111	-0.167	-0.1537	-0.1971	-0.0192	-0.0948	0.0836	0.0985	0.0993	-0.0719	
X00000059995	0.1229	-0.0307	-0.0854	0.2827	0.0707	-0.0591	-0.1137	0.0717	0.2162	0.089	0.1528	0.1204	0.0463	-0.1053	-0.001	-0.0694	0.0184	-0.0476	0.0895	-0.0461	0.0793	0.0029	-0.0406	-0.0639	-0.048	-0.0543	0.0159	0.1384	-0.2344	0.1161	0.0864	-0.139	0.0468	-0.0956	0.008	-0.0213	-0.2272	-0.0462	-0.0088	
CTH	-0.1424	-0.0062	0.0296	0.0756	-0.1263	0.2209	0.0924	-0.0932	-0.0822	-0.0652	0.1255	0.0242	-0.0487	0.0897	-0.1139	-0.0066	0.017	-0.2272	0.0837	-0.0117	-0.4267	0.0482	0.1069	-0.0952	-0.2318	-0.1159	0.1504	0.1113	0.0614	-0.0993	0.1158	0.013	0.1627	-0.089	0.1262	0.01	-0.1602	-0.0253	0.0164	
MAOA	-0.0812	-0.2079	-0.2484	-0.065	0.062	0.0673	0.075	-0.0607	-0.1095	0.0505	0.0765	0.1315	0.0437	0.0444	0.0194	-0.0725	-0.1192	-0.0405	0.1327	0.1223	-0.1535	-0.0415	0.0411	0.1138	-0.2326	0.0632	-0.052	-0.1345	0.0481	0.1368	0.0078	-0.0158	0.0856	0.1991	-0.1017	-0.1421	0.1852	-0.0934	0.0019	
X00000058427	0.0592	0.1275	-0.1249	-0.1584	-0.0123	0.1246	0.0545	-0.1763	0.2651	-0.0995	-0.273	-0.0543	0.0394	-0.0611	0.0677	0.0905	-0.0928	-0.0732	0.0557	0.0963	-0.0459	0.1743	-0.0183	-0.1042	-0.0749	0.075	0.0747	-0.0607	0.1344	-0.0344	0.0466	0.1931	-0.0251	-0.1124	0.0217	-0.1933	-0.0135	-0.002	-0.0401	
X00000056965	0.0346	0.0267	0.2307	-0.0345	0.1838	0.1859	0.0124	-0.1018	-0.1042	-0.0315	0.0335	0.0653	0.2678	0.0395	0.2339	-0.0115	-0.0416	0.0527	0.1738	-0.0705	-0.026	0.1275	0.1515	-0.042	0.1561	-0.1434	-0.1115	0.0127	-0.0123	0.2117	-0.0102	-0.0163	-0.1496	-0.1391	0.0523	0.1885	-0.0315	0.3201	-0.0228	
NEIL2	0.0872	-0.2041	-0.213	-0.0657	0.0899	0.1426	0.0673	-0.1177	0.1553	0.0156	-0.1157	-0.0492	-0.1322	0.0387	-0.0077	0.177	0.0108	0.0616	0.1539	0.1025	-0.0509	-0.0579	-0.0442	0.013	-0.0212	0.0858	0.0624	0.046	0.016	-0.0313	-0.1576	-0.1489	0.0123	-0.1341	0.0039	0.0554	-0.1101	-0.2279	0.2874	
LOC714118	0.0442	-0.0383	0.0297	0.1354	0.0522	-0.0699	0.0383	0.1292	0.1178	-0.2301	-0.1736	0.0414	0.1325	-0.2638	0.0068	-0.0549	-0.0201	0.1151	-0.2708	0.2702	-0.2211	-0.0359	-0.0967	-0.1768	-0.1304	-0.1934	0.0092	-0.2587	-0.2753	0.2214	0.1107	-0.0966	0.0621	-0.0242	0.1051	-0.0524	-0.0977	0.078	0.0192	
ULK4	0.1165	-0.2369	-0.1299	0.0168	-0.0953	0.0723	-0.1515	0.0626	0.0184	-0.0656	-0.0252	0.1066	-0.022	0.0697	0.0622	0.1942	0.0606	0.1425	-0.0617	-0.0691	-0.0607	0.0668	-0.0154	-0.1852	0.2637	0.054	0.0758	-0.2022	0.0577	-0.0875	0.2174	0.1126	-0.0621	0.0634	0.1369	0.112	0.1298	0.0333	0.2152	
X00000061294	0.1127	0.0604	-0.039	0.2037	0.0823	0.0116	0.1343	0.1037	-0.004	0.0124	-0.1395	0.0335	-0.0031	0.2197	0.0917	-0.0868	-0.3442	-0.1681	-0.0509	0.1048	0.1656	0.1721	0.1633	-0.1209	-0.0156	0.1599	-0.0044	-0.1828	0.0477	-0.0147	0.0965	-0.1826	-0.1076	0.1235	0.1091	-0.1241	-0.0682	-0.004	0.0909	
LOC114672915	0.0756	0.0674	0.1329	-0.029	-0.0103	0.244	-0.1696	0.004	0.0947	0.2293	0.1517	0.068	-0.1455	-0.1588	-0.1301	-0.134	-0.2571	0.055	0.0707	-0.0812	0.0193	-0.1128	-0.0221	-0.0649	0.0176	0.1055	-0.1238	-0.0044	0.133	-0.0617	0.2807	-0.103	0.1083	0.0765	0.117	0.0649	-0.0237	0.0292	-0.0848	
CDH20	0.1182	0.051	-0.0266	-0.0735	-0.142	-0.1934	-0.0922	0.1145	-0.1553	0.0295	0.1023	-0.1239	0.0867	0.1871	0.217	0.105	0.0515	0.0327	0.0799	0.199	-0.1597	-0.2057	0.0616	-0.2728	0.0017	-0.1458	-0.1055	0.0198	0.1511	-0.1	-0.156	-0.1361	-0.028	-0.0358	0.1971	0.0311	-0.199	-0.1194	0.0331	
LOC100425242	-0.1043	0.1361	0.1473	-0.1226	0.015	-0.0973	-0.1061	0.0011	-0.1553	-0.1224	-0.1269	-0.2511	0.1203	0.0062	-0.067	0.0663	-0.1882	0.0189	0.2893	-0.0521	-0.0804	-0.0114	0.0739	0.0032	-0.1389	0.0837	-0.1504	-0.0577	-0.0705	-0.0347	-0.0174	0.1421	-0.1274	0.053	0.1752	0.0237	0.0397	0.1659	0.0969	
WDR41	0.1224	0.0349	-0.2201	0.089	0.0578	0.1181	-0.1295	0.0206	-0.1364	0.1796	0.001	0.0686	0.0459	0.0356	-0.0104	0.2409	-0.1187	-0.0107	-0.2022	-0.0145	0.0144	0.0679	-0.1348	0.0171	-0.0417	-0.2554	-0.1936	0.0256	-0.1297	-0.08	-0.0863	0.3236	0.1436	0.0418	-0.1884	0.1265	-0.078	0.093	0.1132	
